location,category,qualityRating,name,contactEmail,supplierId
New York,Electronics,4.5,Acme Industries,USA,S001
Delhi,Agriculture,4.2,Global Agro Ltd,India,S002
Berlin,Manufacturing,3.9,Precision Parts Co.,Germany,S003
Shanghai,Textiles,4,Eastern Supplies,China,S004
Toronto,Metals & Mining,4.1,Northern Metals,Canada,S005
São Paulo,Food & Beverages,4.3,Sunrise Foods,Brazil,S006
Seoul,Electronics,4.6,Bright Electronics,South Korea,S007
Jakarta,Textiles,3.8,Oceanic Textiles,Indonesia,S008
Warsaw,Plastics,3.7,Silverstone Plastics,Poland,S009
Nairobi,Agriculture,4.4,Greenfield Farms,Kenya,S010
Chicago,Packaging,4,Metro Packaging,USA,S011
Kathmandu,Metals & Mining,4.7,Everest Steel,Nepal,S012
Sydney,Rubber,3.9,Pacific Rubber Corp,Australia,S013
Houston,Chemicals,4.3,Summit Chemicals,USA,S014
Lahore,Textiles,3.6,Windward Textiles,Pakistan,S015
Toronto,Electronics,4.2,Northern Electronics,Canada,S016
Miami,Food & Beverages,3.8,Southern Foods,USA,S017
Moscow,Metals & Mining,4.5,Fortress Metals,Russia,S018
Amsterdam,Packaging,4.1,Eco-Pack Solutions,Netherlands,S019
Melbourne,Agriculture,3.7,Urban Farming,Australia,S020
Zurich,Plastics,4.3,Quantum Plastics,Switzerland,S021
Birmingham,Automotive,4.4,Dynamic Auto Parts,UK,S022
Manila,Rubber,3.5,Evergreen Rubber,Philippines,S023
Barcelona,Textiles,4,Blue Horizon Textiles,Spain,S024
Toronto,Food & Beverages,4.6,Grand Foods,Canada,S025
Vancouver,Plastics,3.9,Peak Plastics,Canada,S026
Gothenburg,Metals & Mining,4.2,Prime Metals,Sweden,S027
Cape Town,Textiles,4.1,Silver Leaf Textiles,South Africa,S028
Minneapolis,Agriculture,4.4,True Harvest Agriculture,USA,S029
Hong Kong,Electronics,3.7,Crystal Electronics,China,S030
Denver,Packaging,4.3,Central Packaging,USA,S031
